"TotalAlunos","Aprovados","Reprovados","nomeEscola","codEscola","EEX","adimplenciaUEX","bairro","valorTotalPrevisto","cescolrpae","modens","compens","anoCenso"
"96","83","10","CMEI CREUSA ARCOVERDE DE FREITAS CAVALCANTI -","26149800","PREF MUN DE RECIFE","Bloqueio CODDE","CASA AMARELA","2820","3","0","0","2018"
"182","177","4","CRECHE MUNICIPAL ZACARIAS DO REGO MACIEL","26149834","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","4260","2","0","0","2018"
"84","59","25","CRECHE MUNICIPAL SAO JOAO","26149923","PREF MUN DE RECIFE","Adimplente","MACAXEIRA","2400","3","0","0","2018"
"123","112","1","CMEI BRASILIA TEIMOSA","26153122","PREF MUN DE RECIFE","Adimplente","BRASILIA TEIMOSA","3440","6","0","0","2018"
"411","302","76","ESCOLA MUNICIPAL PROFESSOR ENALDO MANOEL DE SOUZA","26153297","PREF MUN DE RECIFE","Bloqueio CODDE","JORDAO","11520","6","0","4","2018"
"82","79","3","CRECHE MUNICIPAL DEUS E AMOR-","26153319","PREF MUN DE RECIFE","Bloqueio CODDE","TORROES","2600","4","0","2","2018"
"80","78","2","CRECHE MUNICIPAL SANTA LUZIA","26153335","PREF MUN DE RECIFE","Bloqueio CODDE","TORRE","2580","4","0","1","2018"
"793","674","81","ESCOLA MUNICIPAL PROFESSOR ANTONIO DE BRITO ALVES","26153386","PREF MUN DE RECIFE","Adimplente","MUSTARDINHA","20740","5","1","0","2018"
"117","85","32","CRECHE MUNICIPAL E LUTANDO QUE SE CONQUISTA","26153408","PREF MUN DE RECIFE","Bloqueio CODDE","CORDEIRO","2840","4","0","0","2018"
"511","418","58","ESCOLA MUNICIPAL DARCY RIBEIRO","26153424","PREF MUN DE RECIFE","Adimplente","CORDEIRO","13900","4","0","4","2018"
"576","506","47","ESCOLA MUNICIPAL VILA SANTA LUZIA","26153475","PREF MUN DE RECIFE","Adimplente","TORRE","11340","4","0","1","2018"
"383","347","12","ESCOLA MUNICIPAL MARLUCE SANTIAGO DA SILVA","26153556","PREF MUN DE RECIFE","Bloqueio CODDE","PASSARINHO","10080","3","0","4","2018"
"354","317","16","ESCOLA MUNICIPAL PROFESSOR RICARDO GAMA","26153599","PREF MUN DE RECIFE","Adimplente","LINHA DO TIRO","9180","2","0","4","2018"
"351","325","2","ESCOLA MUNICIPAL PROFESSOR POTIGUAR MATOS","26154137","PREF MUN DE RECIFE","Bloqueio CODDE","SAN MARTIN","8900","5","0","4","2018"
"289","251","11","ESCOLA MUNICIPAL 27 DE NOVEMBRO","26154846","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","6100","6","0","5","2018"
"665","600","26","ESCOLA MUNICIPAL PROF JANDIRA BOTELHO PEREIRA DA COSTA","26155818","PREF MUN DE RECIFE","Adimplente","CAMPO GRANDE","14840","2","0","4","2018"
"689","591","75","ESCOLA MUNICIPAL DINA DE OLIVEIRA","26155850","PREF MUN DE RECIFE","Adimplente","IPUTINGA","16700","4","1","1","2018"
"321","281","23","ESCOLA MUNICIPAL ENGENHEIRO HENOCH COUTINHO DE MELO","26155869","PREF MUN DE RECIFE","Adimplente","PINA","8440","6","1","0","2018"
"185","151","5","ESCOLA MUNICIPAL PROFESSOR JOAO BATISTA LIPPO NETO","26157845","PREF MUN DE RECIFE","Adimplente","VARZEA","4520","4","1","0","2018"
"297","218","43","ESCOLA MUNICIPAL PASTOR JOSE MUNGUBA SOBRINHO","26157888","PREF MUN DE RECIFE","Adimplente","JORDAO","6740","6","0","4","2018"
"251","203","34","ESCOLA MUNICIPAL JARDIM UCHOA","26158280","PREF MUN DE RECIFE","Adimplente","AREIAS","6120","5","0","5","2018"
"417","330","38","ESCOLA MUNICIPAL PROFESSOR JULIO DE OLIVEIRA","26158299","PREF MUN DE RECIFE","Bloqueio CODDE","IMBIRIBEIRA","12400","6","0","4","2018"
"421","386","8","ESCOLA MUNICIPAL PROFESSOR JOAO FRANCISCO DE SOUZA","26158302","PREF MUN DE RECIFE","Bloqueio CODDE","VARZEA","10320","4","0","4","2018"
"318","260","28","ESCOLA MUNICIPAL ISAAC PEREIRA DA SILVA","26158310","PREF MUN DE RECIFE","Adimplente","AREIAS","9460","5","0","5","2018"
"426","364","48","ESCOLA MUNICIPAL DEPUTADO EDSON CANTARELLI","26158329","PREF MUN DE RECIFE","Adimplente","IBURA","11180","6","0","4","2018"
"195","169","9","ESCOLA MUNICIPAL PROFESSOR ORLANDO PARAHYM","26158370","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","4980","6","0","4","2018"
"420","329","75","ESCOLA MUNICIPAL NOVO MANGUE","26158400","PREF MUN DE RECIFE","Adimplente","ILHA JOANA BEZERRA","10640","1","0","4","2018"
"245","223","10","ESCOLA MUNICIPAL JOSE MUCIO MONTEIRO","26164361","PREF MUN DE RECIFE","Adimplente","IBURA","5920","6","0","4","2018"
"192","169","4","ESCOLA MUNICIPAL PARQUE DOS MILAGRES","26164701","PREF MUN DE RECIFE","Adimplente","BARRO","10640","5","1","1","2018"
"498","478","5","ESCOLA MUNICIPAL ALTO DO PASCOAL","26166593","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","12120","2","0","4","2018"
"169","154","6","ESCOLA MUNICIPAL DE BEBERIBE","26166607","PREF MUN DE RECIFE","Adimplente","BEBERIBE","4840","2","1","0","2018"
"301","267","11","ESCOLA MUNICIPAL CAMPINA DO BARRETO","26166623","PREF MUN DE RECIFE","Bloqueio CODDE","CAJUEIRO","8400","2","0","4","2018"
"182","169","6","ESCOLA MUNICIPAL ENGENHEIRO EDINALDO MIRANDA DE OLIVEIRA","26166631","PREF MUN DE RECIFE","Adimplente","ENCRUZILHADA","4960","2","0","5","2018"
"152","117","24","ESCOLA MUNICIPAL DE AGUA FRIA","26166640","PREF MUN DE RECIFE","Adimplente","CAMPINA DO BARRETO","4720","2","1","0","2018"
"358","293","51","ESCOLA MUNICIPAL PROFESSOR JOSE SOARES DA SILVA","26166666","PREF MUN DE RECIFE","Adimplente","NOVA DESCOBERTA","8960","3","1","0","2018"
"219","177","31","ESCOLA MUNICIPAL UR 05","26167840","PREF MUN DE RECIFE","Adimplente","COHAB","5300","6","1","0","2018"
"170","144","17","ESCOLA MUNICIPAL DO BARRO","26168073","PREF MUN DE RECIFE","Bloqueio CODDE","BARRO","4880","5","0","5","2018"
"121","100","14","ESCOLA MUNICIPAL DO PANTANAL","26168111","PREF MUN DE RECIFE","Adimplente","COHAB","8160","5","1","1","2018"
"353","316","15","ESCOLA MUNICIPAL DO SANCHO","26168120","PREF MUN DE RECIFE","Bloqueio CODDE","SANCHO","9600","5","0","4","2018"
"228","214","9","ESCOLA MUNICIPAL POETA JOAO CABRAL DE MELO NETO","26168138","PREF MUN DE RECIFE","Adimplente","PINA","6120","6","0","4","2018"
"335","290","30","ESCOLA MUNICIPAL IBURA DE BAIXO","26168227","PREF MUN DE RECIFE","Adimplente","IBURA","9400","6","1","0","2018"
"300","284","5","ESCOLA MUNICIPAL ASA BRANCA","26170639","PREF MUN DE RECIFE","Adimplente","IBURA","6320","6","0","4","2018"
"301","264","13","ESCOLA MUNICIPAL DIACONO ABEL GUEIROS","26170647","PREF MUN DE RECIFE","Adimplente","MACAXEIRA","6900","3","0","4","2018"
"554","488","39","ESCOLA MUNICIPAL JARDIM MONTE VERDE","26170663","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","11740","6","0","4","2018"
"170","146","14","ESCOLA MUNICIPAL SITIO DO BERARDO","26170710","PREF MUN DE RECIFE","Adimplente","PRADO","4740","4","1","0","2018"
"80","75","2","CRECHE MUNICIPAL SITIO GRANDE","26170728","PREF MUN DE RECIFE","Bloqueio CODDE","IMBIRIBEIRA","2740","6","0","0","2018"
"87","70","15","ESCOLA MUNICIPAL LADJANE BANDEIRA","26170744","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","2760","2","0","4","2018"
"441","368","56","ESCOLA MUNICIPAL CHICO MENDES","26170779","PREF MUN DE RECIFE","Adimplente","AREIAS","10380","5","0","4","2018"
"223","181","18","ESCOLA MUNICIPAL POETA CARLOS PENA FILHO","26170795","PREF MUN DE RECIFE","Adimplente","CURADO","4580","5","0","4","2018"
"96","86","2","ESCOLA MUNICIPAL ARTISTA PLASTICO CICERO DIAS","26171716","PREF MUN DE RECIFE","Adimplente","COHAB","2800","6","0","4","2018"
"250","223","7","ESCOLA MUNICIPAL JADER FIGUEIREDO DE ANDRADE SILVA","26171732","PREF MUN DE RECIFE","Bloqueio CODDE","ENGENHO DO MEIO","7020","4","0","4","2018"
"355","305","34","ESCOLA MUNICIPAL DA GUABIRABA","26171740","PREF MUN DE RECIFE","Adimplente","BREJO DA GUABIRABA","10520","3","1","0","2018"
"541","476","28","ESCOLA MUNICIPAL CARLUCIO DE SOUZA CASTANHA JUNIOR","26171767","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","12740","6","0","4","2018"
"162","140","13","ESCOLA MUNICIPAL CECILIA MEIRELLES","26175363","PREF MUN DE RECIFE","Bloqueio CODDE","MACAXEIRA","4860","3","0","5","2018"
"169","144","21","ESCOLA MUNICIPAL PEDRO ALCANTARA","26175380","PREF MUN DE RECIFE","Adimplente","CORREGO DO JENIPAPO","4400","3","0","5","2018"
"297","229","25","ESCOLA MUNICIPAL MERCIA DE ALBUQUERQUE FERREIRA","26175398","PREF MUN DE RECIFE","Bloqueio CODDE","ILHA DO RETIRO","7200","4","0","4","2018"
"617","533","46","ESCOLA MUNICIPAL GOVERNADOR MIGUEL ARRAES DE ALENCAR","26177951","PREF MUN DE RECIFE","Bloqueio CODDE","ESTANCIA","15260","5","1","0","2018"
"416","300","98","ESCOLA MUNICIPAL POETA SOLANO TRINDADE","26177960","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","10100","2","0","4","2018"
"181","163","10","ESCOLA MUNICIPAL NOVA MORADA","26177978","PREF MUN DE RECIFE","Bloqueio CODDE","CAXANGA","9200","4","1","2","2018"
"149","145","1","ESCOLA MUNICIPAL DONA LUCI SILVA LIMA","26181940","PREF MUN DE RECIFE","Adimplente","IMBIRIBEIRA","3780","6","0","4","2018"
"153","151","2","ESCOLA MUNICIPAL COMPOSITOR CAPIBA","26212200","PREF MUN DE RECIFE","Adimplente","TORREAO","4640","2","1","0","2018"
"406","357","37","ESCOLA MUNICIPAL ROZEMAR DE MACEDO LIMA","26212404","PREF MUN DE RECIFE","Bloqueio CODDE","CASA AMARELA","16640","3","0","4","2018"
"153","143","3","ESCOLA MUNICIPAL MILTON ALMEIDA DOS SANTOS","26419726","PREF MUN DE RECIFE","Adimplente","IMBIRIBEIRA","3660","6","0","4","2018"
"114","108","4","ESCOLA MUNICIPAL CHICO SCIENCE","26419734","PREF MUN DE RECIFE","Adimplente","VASCO DA GAMA","3000","3","0","4","2018"
"333","316","6","ESCOLA MUNICIPAL BOLA NA REDE","26491710","PREF MUN DE RECIFE","Adimplente","GUABIRABA","8000","3","0","5","2018"
