NU_ANO_CENSO;CO_ENTIDADE;NO_ENTIDADE;CO_ORGAO_REGIONAL;TP_SITUACAO_FUNCIONAMENTO;DT_ANO_LETIVO_INICIO;DT_ANO_LETIVO_TERMINO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_UF;CO_MUNICIPIO;CO_DISTRITO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_CATEGORIA_ESCOLA_PRIVADA;IN_CONVENIADA_PP;TP_CONVENIO_PODER_PUBLICO;IN_MANT_ESCOLA_PRIVADA_EMP;IN_MANT_ESCOLA_PRIVADA_ONG;IN_MANT_ESCOLA_PRIVADA_SIND;IN_MANT_ESCOLA_PRIVADA_SIST_S;IN_MANT_ESCOLA_PRIVADA_S_FINS;CO_ESCOLA_SEDE_VINCULADA;CO_IES_OFERTANTE;TP_REGULAMENTACAO;IN_LOCAL_FUNC_PREDIO_ESCOLAR;TP_OCUPACAO_PREDIO_ESCOLAR;IN_LOCAL_FUNC_SALAS_EMPRESA;IN_LOCAL_FUNC_SOCIOEDUCATIVO;IN_LOCAL_FUNC_UNID_PRISIONAL;IN_LOCAL_FUNC_PRISIONAL_SOCIO;IN_LOCAL_FUNC_TEMPLO_IGREJA;IN_LOCAL_FUNC_CASA_PROFESSOR;IN_LOCAL_FUNC_GALPAO;TP_OCUPACAO_GALPAO;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_LOCAL_FUNC_OUTROS;IN_PREDIO_COMPARTILHADO;IN_AGUA_FILTRADA;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR;IN_ENERGIA_OUTROS;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_COLETA_PERIODICA;IN_LIXO_QUEIMA;IN_LIXO_JOGA_OUTRA_AREA;IN_LIXO_RECICLA;IN_LIXO_ENTERRA;IN_LIXO_OUTROS;IN_SALA_DIRETORIA;IN_SALA_PROFESSOR;IN_LABORATORIO_INFORMATICA;IN_LABORATORIO_CIENCIAS;IN_SALA_ATENDIMENTO_ESPECIAL;IN_QUADRA_ESPORTES_COBERTA;IN_QUADRA_ESPORTES_DESCOBERTA;IN_QUADRA_ESPORTES;IN_COZINHA;IN_BIBLIOTECA;IN_SALA_LEITURA;IN_BIBLIOTECA_SALA_LEITURA;IN_PARQUE_INFANTIL;IN_BERCARIO;IN_BANHEIRO_FORA_PREDIO;IN_BANHEIRO_DENTRO_PREDIO;IN_BANHEIRO_EI;IN_BANHEIRO_PNE;IN_DEPENDENCIAS_PNE;IN_SECRETARIA;IN_BANHEIRO_CHUVEIRO;IN_REFEITORIO;IN_DESPENSA;IN_ALMOXARIFADO;IN_AUDITORIO;IN_PATIO_COBERTO;IN_PATIO_DESCOBERTO;IN_ALOJAM_ALUNO;IN_ALOJAM_PROFESSOR;IN_AREA_VERDE;IN_LAVANDERIA;IN_DEPENDENCIAS_OUTRAS;NU_SALAS_EXISTENTES;NU_SALAS_UTILIZADAS;IN_EQUIP_TV;IN_EQUIP_VIDEOCASSETE;IN_EQUIP_DVD;IN_EQUIP_PARABOLICA;IN_EQUIP_COPIADORA;IN_EQUIP_RETROPROJETOR;IN_EQUIP_IMPRESSORA;IN_EQUIP_IMPRESSORA_MULT;IN_EQUIP_SOM;IN_EQUIP_MULTIMIDIA;IN_EQUIP_FAX;IN_EQUIP_FOTO;IN_COMPUTADOR;NU_EQUIP_TV;NU_EQUIP_VIDEOCASSETE;NU_EQUIP_DVD;NU_EQUIP_PARABOLICA;NU_EQUIP_COPIADORA;NU_EQUIP_RETROPROJETOR;NU_EQUIP_IMPRESSORA;NU_EQUIP_IMPRESSORA_MULT;NU_EQUIP_SOM;NU_EQUIP_MULTIMIDIA;NU_EQUIP_FAX;NU_EQUIP_FOTO;NU_COMPUTADOR;NU_COMP_ADMINISTRATIVO;NU_COMP_ALUNO;IN_INTERNET;IN_BANDA_LARGA;NU_FUNCIONARIOS;IN_ALIMENTACAO;TP_AEE;TP_ATIVIDADE_COMPLEMENTAR;IN_FUNDAMENTAL_CICLOS;TP_LOCALIZACAO_DIFERENCIADA;IN_MATERIAL_ESP_QUILOMBOLA;IN_MATERIAL_ESP_INDIGENA;IN_MATERIAL_ESP_NAO_UTILIZA;IN_EDUCACAO_INDIGENA;TP_INDIGENA_LINGUA;CO_LINGUA_INDIGENA;IN_BRASIL_ALFABETIZADO;IN_FINAL_SEMANA;IN_FORMACAO_ALTERNANCIA;IN_MEDIACAO_PRESENCIAL;IN_MEDIACAO_SEMIPRESENCIAL;IN_MEDIACAO_EAD;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;IN_COMUM_CRECHE;IN_COMUM_PRE;IN_COMUM_FUND_AI;IN_COMUM_FUND_AF;IN_COMUM_MEDIO_MEDIO;IN_COMUM_MEDIO_INTEGRADO;IN_COMUM_MEDIO_NORMAL;IN_ESP_EXCLUSIVA_CRECHE;IN_ESP_EXCLUSIVA_PRE;IN_ESP_EXCLUSIVA_FUND_AI;IN_ESP_EXCLUSIVA_FUND_AF;IN_ESP_EXCLUSIVA_MEDIO_MEDIO;IN_ESP_EXCLUSIVA_MEDIO_INTEGR;IN_ESP_EXCLUSIVA_MEDIO_NORMAL;IN_COMUM_EJA_FUND;IN_COMUM_EJA_MEDIO;IN_COMUM_EJA_PROF;IN_ESP_EXCLUSIVA_EJA_FUND;IN_ESP_EXCLUSIVA_EJA_MEDIO;IN_ESP_EXCLUSIVA_EJA_PROF;IN_COMUM_PROF;IN_ESP_EXCLUSIVA_PROF
 2017; 26121948;ESCOLA SYLVIO RABELO;00001; 1;2017/02/02 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 2; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 14; 12; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 20; 5; 15; 1; 1; 47; 1; 0; 0;; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26126389;ESCOLA MUNICIPAL DOUTOR CAETE;00001; 1;2017/02/02 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 3; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 7; 7; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 3; 0; 2; 0; 0; 0; 0; 0; 1; 1; 0; 0; 2; 0; 2; 1; 1; 26; 1; 0; 0; 1; 0; 0; 0; 1; 0;;; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0
 2017; 26117975;COLEGIO ANCHIETA;00002; 1;2017/02/01 00:00:00.000;2017/12/27 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 2; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 20; 20; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 5; 0; 0; 0; 3; 2; 10; 0; 5; 10; 2; 4; 38; 28; 10; 1; 1; 82; 0; 0; 0; 1; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26124602;ESCOLA DE REFERENCIA EM ENSINO MEDIO ENGENHEIRO LAURO DINIZ;00002; 1;2017/02/02 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 2; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 17; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 7; 0; 4; 0; 2; 0; 2; 0; 4; 11; 0; 1; 20; 0; 20; 1; 0; 59; 1; 0; 0;; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0
 2017; 26124432;ESCOLA DE REFERENCIA EM ENSINO MEDIO APOLONIO SALES;00002; 1;2017/02/02 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 2; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 15; 15; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 2; 0; 0; 0; 1; 0; 0; 4; 0; 2; 0; 1; 22; 4; 15; 1; 1; 59; 1; 0; 0; 1; 0; 0; 0; 1; 0;;; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0
 2017; 26128420;ESCOLA PEDRO CELSO;00001; 1;2017/02/02 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 2; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 16; 16; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 4; 0; 0; 0; 1; 1; 0; 0; 4; 4; 0; 1; 1; 81; 1; 1; 1; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0
 2017; 26153343;CRECHE COM N SRA DA BOA VIAGEM;00002; 1;2017/02/01 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 2; 1; 1; 0; 0; 0; 0; 1;;; 1; 1; 3; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 7; 7; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 0; 1; 0; 2; 0; 7; 0; 0; 1; 2; 2; 0; 1; 1; 21; 1; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26124653;ESCOLA DE REFERENCIA EM ENSINO MEDIO LAGOA ENCANTADA;00002; 1;2017/02/02 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 2; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 15; 34; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 2; 1; 1; 0; 5; 3; 0; 3; 7; 4; 3; 1; 1; 57; 1; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26530724;ESCOLA CONVISAO;00002; 1;2017/02/01 00:00:00.000;2017/12/28 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 12; 12; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 3; 0; 2; 1; 2; 2; 3; 0; 2; 2; 1; 1; 10; 0; 6; 1; 1; 112; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26170485;COLEGIO SABER FAZER LTDA ME;00001; 1;2017/02/01 00:00:00.000;2017/12/29 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 13; 12; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 2; 0; 1; 11; 1; 10; 1; 1; 22; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26118211;COLEGIO E CURSO MICKEYLANDIA;00002; 1;2017/02/01 00:00:00.000;2017/12/29 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 11; 11; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 3; 0; 0; 4; 0; 1; 14; 6; 8; 1; 1; 18; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26156628;CRECHE MUNICIPAL SITIO DO CARDOSO;00002; 1;2017/02/03 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 3; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 5; 5; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 2; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 8; 2; 6; 1; 1; 50; 1; 0; 0;; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26157845;ESCOLA MUNICIPAL PROFESSOR JOAO BATISTA LIPPO NETO;00002; 1;2017/02/03 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 3; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 9; 9; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 2; 0; 2; 0; 1; 0; 2; 0; 5; 0; 0; 1; 2; 0; 2; 1; 1; 47; 1; 0; 0; 1; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26149818;CRECHE MUNICIPAL VOVO ARTUR;00001; 1;2017/02/03 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 3; 1;;;;;;;;;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 5; 5; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 59; 1; 0; 0;; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26123924;ESCOLA RECREIO DA TIA MARTA;00002; 1;2017/03/06 00:00:00.000;2017/12/29 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 1; 0; 0; 5; 5; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 2; 0; 1; 0; 1; 1; 1; 1; 2; 1; 0; 1; 1; 1; 0; 1; 1; 9; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26176424;ESCOLA MARAVILHA;00002; 1;2017/02/01 00:00:00.000;2017/12/29 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 14; 8; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 0; 1; 3; 0; 2; 0; 2; 0; 1; 0; 2; 0; 0; 0; 2; 2; 0; 1; 1; 12; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26172860;GRUPO GENESE DE ENSINO LTDA;00001; 1;2017/02/01 00:00:00.000;2017/12/29 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 0; 18; 18; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 2; 0; 0; 0; 2; 0; 3; 0; 1; 20; 1; 1; 22; 20; 2; 1; 1; 75; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26489716;ESCOLA ADVENTISTA DE SAN MARTIN;00002; 1;2017/02/08 00:00:00.000;2017/12/29 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1; 1; 0;; 1; 0; 0; 0; 0;;; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 24; 16; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 2; 1; 1; 0; 14; 4; 10; 1; 1; 33; 0; 0; 0; 0; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26165155;BL CARNAVAL CRIANCA SEM EDUC E CRIANCA SEM FUTURO;00002; 2;;; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 2017; 26143224;FACULDADE INFANTIL;00001; 3;;; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 2017; 26167956;U BL CAR URSO LA VAI ELE E AS GOST DO BONGI;00002; 2;;; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 2017; 26149826;CRECHE MUNICIPAL UNIDOS VENCEREMOS;00001; 1;2017/02/03 00:00:00.000;2017/12/22 00:00:00.000; 2; 2605; 26017; 26; 2611606; 261160605; 3; 1;;;;;;;;;;; 1; 1; 2; 0; 0; 0; 0; 0; 0; 0;; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 1; 0; 4; 4; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 7; 2; 5; 1; 1; 50; 1; 0; 0;; 0; 0; 0; 1; 0;;; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 2017; 26120291;ESCOLA VITORIA REGIA;00002; 2;;; 2; 2605; 26017; 26; 2611606; 261160605; 4; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
